_id,AREA_NAME,Assault,Auto Theft,Bike Theft,Break & Enter,Homicide,Robbery,Shooting,Theft from MV,Theft over
5,Yonge-Bay Corridor,3355.866699,223.3220673,1158.860474,567.3587646,6.035731316,392.3225403,6.035731316,464.7513428,289.7151184
81,Kensington-Chinatown,2049.761475,111.7270432,489.8800964,653.1734619,,266.4260254,30.0803566,1314.941284,270.7232056
38,Downtown Yonge East,2616.916992,189.9375305,607.8001099,367.2125549,8.44166851,443.187561,8.44166851,721.7626343,168.8333588
46,Mimico-Queensway,3997.246338,357.9623718,45.89261246,234.0523224,9.17852211,45.89261246,,220.2845306,78.0174408
154,West Humber-Clairville,926.3425293,1696.530151,21.17354393,410.2373962,2.646692991,169.3883514,18.52684975,706.6669922,201.1486664
80,University,1673.440063,155.3908691,800.8606567,633.5166016,,227.109726,11.95314407,478.1257324,119.5314331
83,Moss Park,2053.231934,127.8949203,241.9633636,428.6208191,3.456619501,255.7898407,6.913239002,356.0317993,69.13238525
126,York University Heights,1304.25354,697.0476074,111.5276184,402.7386169,3.097989321,223.0552368,34.07788467,504.9722595,123.9195786
122,Yorkdale-Glen Park,1016.916016,547.5701294,83.11332703,352.0093994,4.889019489,332.4533081,24.44509697,479.1239014,259.1180115
9,Oakdale-Beverley Heights,1642.188477,443.8347473,64.5577774,234.0219421,4.034861088,145.2550049,32.2788887,371.2072449,60.5229187
